Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
2680,HENNEKO - The Hentai Prince and the Stony Cat, Hentai Ouji to Warawanai Neko.,TV   ,12,J.C.Staff,Spring,"Comedy, Drama, Harem, Romance, School Life, Supernatural, Based on a Light Novel",3.71
2681,Lupin III Special 27: Goodbye Partner,,TV Sp,,Trois Studio,,"Action, Comedy, Criminals, Thieves, Based on a Manga",3.71
2682,Senjou no Valkyria 3: Tagatame no Juusou,,OVA  ,2,A-1 Pictures,,"Action, Fantasy, Europe, War, Based on a Video Game",3.71
2683,The Betrayal Knows My Name, Uragiri wa Boku no Namae wo Shitteiru,TV   ,24,J.C.Staff,Spring,"BL, Fantasy, Shoujo, Shounen-ai, Demons, Magic, Orphans, Reincarnation, Superpowers, Based on a Manga",3.71
2684,Un-Go,,TV   ,11,Bones,Fall ,"Mystery, Detectives, Noir, noitaminA, Supernatural, Based on a Novel",3.71
2685,Phantom Thief Jeanne, Kamikaze Kaitou Jeanne,TV   ,44,Toei Animation,Winter,"Shoujo, Reincarnation, Thieves, Based on a Manga",3.71
2686,Black Blood Brothers,,TV   ,12,Group TAC,Fall ,"Action, Supernatural, Vampires, Based on a Light Novel, Violence",3.71
2687,Tannishou wo Hiraku,,Movie,,Paradise Cafe,,"Drama, Buddhism, Historical, Religion, Based on a Novel",3.71
2688,I Can't Understand What My Husband is Saying, Danna ga Nani wo Itteiru ka Wakaranai Ken,TV   ,13,Seven,Fall ,"Comedy, Romance, Seinen, Slice of Life, Adult Couples, Married Life, Mature Romance, Otaku Culture, Romantic Comedy, Short Episodes, Based on a 4-Koma Manga, Based on a Manga",3.71
2689,Rockman.EXE: Hikari to Yami no Program,,Movie,,XEBEC,,"Action, Adventure, Sci Fi, Non-Human Protagonists, Person in a Strange World, Robots, Based on a Video Game",3.71
2690,Jing: King of Bandits - Seventh Heaven, Ou Dorobou Jing in Seventh Heaven,OVA  ,3,Studio DEEN,,"Comedy, Fantasy, Sci Fi, Prison, Thieves, Based on a Manga",3.7
2691,Mala Nu Pei, Spicy Girl,Web  ,32,,,"Comedy, Romance, Chinese Animation, Short Episodes, Based on a Manga",3.7
2692,Attack on Titan 3rd Season: Part II Specials,,DVD S,,DMM.futureworks,,"Comedy, Chibi",3.7
2693,Monster Musume no Iru Nichijou, Monster Musume: Everyday Life with Monster Girls,TV   ,12,Lerche,Summer,"Comedy, Ecchi, Fantasy, Harem, Seinen, Slice of Life, Cohabitation, Contemporary Fantasy, Interspecies Relationship, Monster Girls, Monsters, Non-Human Protagonists, Urban Fantasy, Based on a Manga, Nudity",3.7
2694,Princess Nine, Princess Nine: Kisaragi Joshikou Yakyuubu,TV   ,26,Phoenix Entertainment,Spring,"Drama, Romance, Sports, Baseball, Coming of Age, Love Triangle, School Club, School Life, Original Work",3.7
2695,Karas,,OVA  ,6,Tatsunoko VCR,,"Action, Power Suits, Superpowers, Swordplay, Original Work",3.7
2696,The Strongest Sage with the Weakest Crest, Shikkaku Mon no Saikyou Kenja,TV   ,,J.C.Staff,Winter,"Comedy, Fantasy, Harem, Shounen, Cheats, Demons, Magic, Person in a Strange World, Reincarnation, School Life, Based on a Light Novel",3.7
2697,Crayon Shin-chan Movie 9: The Adult Empire Strikes Back,,Movie,,Shin-Ei Animation,,"Comedy, Crude",3.7
2698,Fei Ren Zai 2nd Season,,Web  ,12,FENZ,,"Comedy, Fantasy, Animal Characteristics, Animal Transformation, Chinese Animation, Gods, Short Episodes, Supernatural, Based on a 4-Koma Manga, Based on a Manga",3.7
2699,Jang Geum Ieui Kkum 2, Jang Geum's Dream 2,TV   ,26,Spring 2007,,"Food and Beverage, Korean Animation",3.7
2700,Qinling Shen Shu, Daomu Biji Zhi Qinling Shen Shu,Web  ,12,,,"Adventure, Mystery, Chinese Animation, Supernatural, Based on a Novel",3.7
2701,Cardfight!! Vanguard: Link Joker, Cardfight!! Vanguard: Link Joker-hen,TV   ,59,TMS Entertainment,Winter,"Action, Fantasy, Card Battles, Family Friendly, Tournaments, Based on a Card Game",3.7
2702,Vandread,,TV   ,13,GONZO,Fall ,"Comedy, Mecha, Sci Fi, Outer Space, Original Work",3.7
2703,WATATEN! an Angel Flew Down to Me Special, Watashi ni Tenshi ga Maiorita Special,DVD S,,Doga Kobo,,"Comedy, Slice of Life, Based on a 4-Koma Manga, Based on a Manga",3.7
2704,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,,Movie,,OLM,,"Sci Fi, Sports, Family Friendly, Soccer, Based on a Video Game",3.7
2705,Scrapped Princess,,TV   ,24,Bones,Spring,"Action, Adventure, Fantasy, Magic, Medieval, Prophecy, Royalty, Siblings, Swordplay, Based on a Light Novel",3.7
2706,Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka,,Movie,,,,"Action, Mystery, Sci Fi, Japanese Mythology, School Life, Superheroes, Supernatural, Youkai",3.7
2707,Amanchu! The Story of the Promised Summer and New Memories, Amanchu! Yakusoku no Natsu to Atarashii Omoide no Koto,DVD S,,J.C.Staff,,"Shounen, Slice of Life, Iyashikei, Ocean, School Club, Scuba Diving, Based on a Manga",3.7
2708,Demon King Daimao, Ichiban Ushiro no Daimao,TV   ,12,Artland,Spring,"Ecchi, Fantasy, Harem, Demon King, Magic, Magic School, Overpowered Main Characters, Panty Shots, School Life, Based on a Light Novel, Nudity",3.7
2709,Kiddy Grade: Maelstrom,,Movie,,asread,,"Sci Fi, Recap",3.7
2710,Selector Spread WIXOSS,,TV   ,12,J.C.Staff,Fall ,"Drama, Body Swapping, Card Battles, Psychological, Supernatural, Based on a Card Game",3.7
2711,Tari Tari,,TV   ,13,P.A. WORKS,Summer,"Drama, Slice of Life, Music, School Club, School Life, Original Work",3.7
2712,Aria the Animation,,TV   ,13,Hal Film Maker,Fall ,"Sci Fi, Shounen, Slice of Life, Apprenticeship, Iyashikei, Ocean, Work Life, Based on a Manga",3.7
2713,An Jie Shen Shi,,Web  ,23,Coastline Animation Studio,,"Action, Fantasy, Chinese Animation, Based on a Web Novel, CG Animation",3.7
2714,Yoru no Kuni, Night World,Web  ,3,Studio Daisy,Spring,"Fantasy, Short Episodes, Original Work",3.7
2715,Sengoku Night Blood: Ongaku Dai Tokushuu,,TV Sp,,Typhoon Graphics,,"Fantasy, Non-Human Protagonists, Based on a Mobile Game, Based on an Otome Game",3.7
2716,Ranma 1/2: Tendou-ke no Oyobidenai Yatsura!,,Other,,,,"Comedy, Shounen, Based on a Manga",3.7
2717,Kuiba Movie 3: Zhanshen Jueqi,,Movie,,Vasoon Animation,,"Action, Adventure, Fantasy, Family Friendly, Original Work",3.7
2718,Fujiko F. Fujio: Sukoshi Fushigi Tanpen Theater,,OVA  ,11,Gallop,,"Adventure, Sci Fi, Outer Space",3.7
2719,Please Teacher, Onegai Teacher,TV   ,12,Daume,Winter,"Ecchi, Romance, Sci Fi, Aliens, Interspecies Relationship, Non-Human Protagonists, School Life, Student-Teacher Relationship, Sudden Girlfriend Appearance, Original Work",3.7
2720,Mr. Osomatsu: Virgin Hero, Osomatsu-san: Doutei na Hero,DVD S,,Pierrot,,"Comedy, Josei, Gag, Parody, Slapstick, Based on a Manga",3.7
2721,Kuromukuro,,TV   ,26,P.A. WORKS,Spring,"Action, Mecha, Sci Fi, Person in a Strange World, Original Work",3.7
2722,Dragon Pilot: Hisone & Masotan,,TV   ,12,Bones,Spring,"Drama, Fantasy, Sci Fi, Aviation, Dragons, Military, Original Work",3.7
2723,I'm From Japan, Jimoto ga Japan,TV   ,50,Odd Job,Spring,"Comedy, Shounen, Gag, School Life, Short Episodes, Transfer Students, Based on a Manga",3.7
2724,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,,Movie,,Sunrise,,"Comedy, Shounen, Aliens, Frogs, Non-Human Protagonists, Based on a Manga",3.7
2725,Gleipnir,,TV   ,13,Pine Jam,Spring,"Action, Ecchi, Mystery, Sci Fi, Seinen, Aliens, Panty Shots, Superpowers, Based on a Manga, Bullying,, Mature Themes,, Nudity,, Sexual Content,, Suicide,, Violence",3.7
2726,Future Card Buddyfight Ace, Future Card Shin Buddyfight,TV   ,47,OLM,Spring,"Card Battles, Family Friendly, Based on a Card Game",3.7
2727,Daa! Daa! Daa!, UFO Baby,TV   ,78,J.C.Staff,Spring,"Comedy, Shoujo, Aliens, Childcare, Cohabitation, School Life, Based on a Manga",3.7
2728,Revue Starlight, Shoujo Kageki Revue Starlight,TV   ,12,Kinema Citrus,Summer,"Drama, Abstract, All-Girls School, Childhood Friends, Childhood Promise, Showbiz, Original Work",3.7
2729,PriPara, Puri Para,TV   ,38,Dongwoo A&E,Summer,"Family Friendly, Fashion, Idols, Music, Showbiz, Based on a Video Game",3.7
2730,Marmalade Boy Movie,,Movie,,Toei Animation,,"Comedy, Romance, Based on a Manga",3.7
2731,Little Nemo: Adventures in Slumberland,,Movie,,TMS Entertainment,,"Adventure, Fantasy, Dream World, Family Friendly, Person in a Strange World",3.7
2732,C: The Money of Soul and Possibility Control, C: Control,TV   ,11,Tatsunoko Production,Spring,"Action, Sci Fi, Debt, Economics, High Stakes Games, noitaminA, Original Work",3.7
2733,Nizhuan Ciyuan: AI Jueqi, Reversal Dimension,Web  ,12,,,"Sci Fi, Chinese Animation, Short Episodes, CG Animation",3.7
2734,Shirahata no Shoujo Ryuuko, The Girl with the White Flag,Movie,,Magic Bus,,"Drama, Historical, World War 2",3.7
2735,D-Frag! OVA,,OVA  ,1,Brain's Base,,"Comedy, Seinen, Based on a Manga",3.7
2736,Peace Maker Kurogane: Friend, Peace Maker Kurogane: Yuumei,Movie,,WHITE FOX,,"Shounen, Feudal Japan, Historical, Samurai, War, Based on a Manga, Violence",3.7
2737,Shouwa Ahozoushi Akanuke Ichiban!,,TV   ,22,Tatsunoko Production,,"Comedy, Shoujo, Based on a Manga",3.7
2738,The Asterisk War, Gakusen Toshi Asterisk,TV   ,12,A-1 Pictures,Fall ,"Action, Harem, Sci Fi, Boarding School, School Life, Swordplay, Tournaments, Based on a Light Novel",3.7
2739,Magimoji Rurumo: The Conclusion, Majimoji Rurumo: Kanketsu-hen,OVA  ,2,J.C.Staff,,"Comedy, Ecchi, Fantasy, Romance, Shounen, Apprenticeship, Magic, Romantic Comedy, Witches, Based on a Manga",3.7
2740,Countdown,,Movie,,,,"Abstract, Shorts",3.7
2741,Saki: The Nationals, Saki: Zenkoku-hen,TV   ,13,Studio Gokumi,Winter,"Shounen, Board Games, Mahjong, School Club, School Life, Tournaments, Based on a Manga",3.7
2742,Rakshasa Street 2nd Season: Part II, Zhen Hun Jie 2nd Season: Part II,Web  ,7,L2 Studio,,"Action, Chinese Animation, Supernatural, Based on a Manga",3.7
2743,Nitaboh: Tsugaru Shamisen Shiso Gaibun, Nitabou: Tsugaru Shamisen Shiso Gaibun,Movie,,Wao World,,"Drama, Biographies, Historical, Music, Based on a Novel",3.7
2744,La Corda D'Oro ~Primo Passo~ A Summer Encore,,DVD S,,Yumeta Company,,"Classical Music, Music, Music School, School Life",3.7
2745,Berserk (2017),,TV   ,12,GEMBA,Spring,"Action, Fantasy, Seinen, Animeism, Dark Fantasy, Demons, Medieval, Mercenaries, Swordplay, Based on a Manga, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse",3.7
2746,Tales of the Abyss,,TV   ,26,Sunrise,Fall ,"Action, Adventure, Comedy, Fantasy, Magic, Prophecy, Based on a Video Game",3.7
2747,Chaika: The Coffin Princess - Avenging Battle, Hitsugi no Chaika: Avenging Battle,TV   ,10,Bones,Fall ,"Action, Adventure, Comedy, Fantasy, Magic, Mercenaries, Based on a Light Novel",3.7
2748,Ground Control to Psychoelectric Girl: The Nighttime Sun, Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,DVD S,,SHAFT,,"Comedy, Slice of Life, Based on a Light Novel",3.7
2749,Tokyo 24th Ward, Tokyo 24-ku,TV   ,,CloverWorks,Winter,"Sci Fi, Childhood Friends, Original Work",3.7
2750,Your Light: Kase-san and Morning Glories, Kimi no Hikari: Asagao to Kase-san.,Web  ,1,Zexcs,Spring,"GL, Romance, Shoujo-ai, No Dialogue, Opposites Attract, School Life, Shorts, Based on a Manga",3.7
2751,Lupin III,,TV   ,23,TMS Entertainment,,"Action, Comedy, Seinen, Criminals, Episodic, Guns, Thieves, Based on a Manga",3.7
2752,Nintama Rantarou Movie 2: Ninjutsu Gakuen Zenin Shutsudou! no Dan,,Movie,,Ajia-do,,"Action, Adventure, Comedy, Shounen, Family Friendly, Ninja, Based on a Manga",3.7
2753,Dareka no Manazashi,,Movie,,CoMix Wave Films,,"Drama, Shorts, Original Work",3.7
2754,Chaika: The Coffin Princess, Hitsugi no Chaika,TV   ,12,Bones,Spring,"Action, Adventure, Comedy, Fantasy, Amnesia, Magic, Mercenaries, Based on a Light Novel",3.7
2755,"Love, Chunibyo & Other Delusions! Lite", Chuunibyou Demo Koi ga Shitai! Lite,Web  ,6,Kyoto Animation,Fall ,"Comedy, School Life, Short Episodes, Based on a Light Novel",3.7
2756,Yu Yu Hakusho The Movie: Poltergeist Report, Yu Yu Hakusho: Meikai Shito-hen - Hono No Kizuna,Movie,,Pierrot,,"Action, Shounen, Afterlife, Supernatural, Based on a Manga",3.7
2757,She and Her Cat, Kanojo to Kanojo no Neko,OVA  ,1,CoMix Wave Films,,"Romance, Slice of Life, Animal Protagonists, Black and White, Cats, Family Friendly, Loneliness, Melancholy, Non-Human Protagonists, Pets, Shorts, Original Work",3.7
2758,Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso, Sound! Euphonium Movie: Welcome to the Kitauji High School Concert Band,Movie,,Kyoto Animation,,"Drama, Music, Recap, School Club, School Life, Based on a Novel",3.7
2759,Afro Samurai Resurrection,,Movie,,GONZO,,"Action, Revenge, Samurai, Based on a Doujinshi, Drug Use,, Explicit Sex,, Explicit Violence,, Mature Themes",3.7
2760,My-Otome Zwei, Mai-Otome Zwei,OVA  ,4,Sunrise,,"Fantasy, Sci Fi, Superpowers",3.7
2761,Otona Joshi no Anime Time: Kawamo o Suberu Kaze,,TV Sp,,The Answer Studio,,"Drama, Romance, Based on a Novel",3.7
2762,Lanndo: Uchuu no Kisetsu,,Music,,,,"BL, Romance, Shounen-ai",3.7
2763,Eve: Yuuseiboushi, Eve: Living idly and dying as if dreaming,Music,,,,,3.7
2764,Kannagi, Kannagi: Crazy Shrine Maidens,TV   ,13,A-1 Pictures,Fall ,"Comedy, Drama, Harem, Shounen, Cohabitation, Japanese Mythology, School Club, School Life, Supernatural, Based on a Manga",3.7
2765,Mahou Sensei Negima! ~Mou Hitotsu Sekai~ Magical Girl Yue,,OVA  ,1,Studio Pastoral,,"Action, Shounen, Magic, Based on a Manga",3.7
2766,Persona 5 The Animation: The Day Breakers,,TV Sp,,A-1 Pictures,,"Action, Fantasy, Mystery, Secret Identity, Thieves, Vigilantes, Based on a Video Game",3.7
2767,Eve: raison d'etre,,Music,,ENISHIYA,,"Action, Fantasy, Superpowers",3.7
2768,Kimagure Orange Road,,TV   ,48,Pierrot,,"Comedy, Romance, Shounen, Episodic, Love Triangle, Psychic Powers, School Life, Supernatural, Unrequited Love, Based on a Manga",3.69
2769,Sailor Moon R Memorial, Bishoujo Senshi Sailor Moon R Memorial,OVA  ,1,Toei Animation,,"Magical Girl, Shoujo, Henshin Heroes, Magic, Recap, Tokusatsu, Based on a Manga",3.69
2770,One Piece Recap,,OVA  ,1,Toei Animation,,"Action, Adventure, Comedy, Shounen, Pirates, Recap, Superpowers, Based on a Manga",3.69
2771,Tower of Druaga: the Sword of Uruk, Druaga no Tou: Sword of Uruk,TV   ,12,GONZO,Winter,"Action, Adventure, Fantasy, Magic, Medieval, RPG, Based on a Video Game",3.69
2772,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,,Movie,,Sunrise,,"Comedy, Shounen, Aliens, Frogs, Non-Human Protagonists, Based on a Manga",3.69
2773,The Haunted House: The Secret of the Cave, Sinbi Apartment: Geumbit Dokkaebiwa Bimirui Donggul,Movie,,,,"Adventure, Horror, Family Friendly, Korean Animation, Supernatural",3.69
2774,Mirai, Mirai no Mirai,Movie,,Studio Chizu,,"Adventure, Drama, Fantasy, Siblings, Time Travel, Original Work",3.69
2775,Ticonderonga no Iru Umi, Sea of the Ticonderoga,OVA  ,1,,,"Drama, Historical",3.69
2776,My Mental Choices are Completely Interfering with my School Romantic Comedy," Ore no Nounai Sentakushi ga, Gakuen Rabukome wo Zenryoku de Jama Shite Iru",TV   ,10,diomedea,Fall ,"Comedy, Ecchi, Harem, Romance, Crude, Curse, School Life, Based on a Light Novel",3.69
2777,One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou,,Other,,Toei Animation,,"Action, Adventure, Shounen, Pirates, Recap, Superpowers, Based on a Manga",3.69
2778,Buddy Complex: Into the Skies of Tomorrow, Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,TV Sp,,Sunrise,,"Action, Drama, Mecha, Sci Fi, Outer Space, Time Travel, Original Work",3.69
2779,Blade of the Immortal (2019), Mugen no Juunin: Immortal,Web  ,24,LIDEN FILMS,Fall ,"Action, Seinen, Feudal Japan, Revenge, Swordplay, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes,, Sexual Abuse",3.69
2780,Mindiao Ju Yi Wen Lu, Bureau of Paranormal Investigation,Web  ,12,B.C MAY PICTURES,,"Adventure, Chinese Animation, Supernatural",3.69
2781,Devils' Line,,TV   ,12,Platinum Vision,Spring,"Action, Drama, Horror, Romance, Seinen, Adult Couples, Interspecies Relationship, Mature Romance, Non-Human Protagonists, Police, Supernatural, Vampires, Based on a Manga, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content,, Violence",3.69
2782,City Hunter: Bay City Wars,,Movie,,Sunrise,,"Action, Comedy, Shounen, Guns, Based on a Manga",3.69
2783,Doraemon Movie 40: Nobita no Shinkyouryuu,,Movie,,Shin-Ei Animation,,"Adventure, Shounen, Cats, Family Friendly, Non-Human Protagonists, Based on a Manga",3.69
2784,Ojamajo Doremi Na-i-sho,,OVA  ,13,Toei Animation,,"Magical Girl, Family Friendly, Henshin Heroes, Magic, Witches, Original Work",3.69
2785,Yorushika: Hana ni Bourei, Yorushika: Ghost In A Flower,Music,,Studio Colorido,,"Drama, Romance",3.69
2786,Hajimete no Eigo: Nippon Mukashibanashi,,OVA  ,18,,,"Fantasy, Episodic, Family Friendly, Short Episodes, Based on a Fairy Tale",3.69
2787,Shuffle!,,TV   ,24,asread,Summer,"Comedy, Ecchi, Fantasy, Harem, Romance, Contemporary Fantasy, Panty Shots, Urban Fantasy, Based on an Eroge, Based on a Visual Novel",3.69
2788,Toradora! Recap,,OVA  ,1,J.C.Staff,,"Romance, Shounen, Recap",3.69
2789,Detective Conan OVA 1: Conan vs Kid vs YAIBA, Meitantei Conan OVA 1: Conan VS KID VS Yaiba,OVA  ,1,TMS Entertainment,,"Mystery, Shounen, Age Transformation, Crossover, Detectives, Police, Samurai, Thieves, Based on a Manga",3.69
2790,"Keroro Gunsou Movie 5: Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!",,Movie,,Sunrise,,"Action, Comedy, Shounen, Aliens, Frogs, Island, Non-Human Protagonists, Based on a Manga",3.69
2791,KINMOZA! Pretty Days, Kiniro Mosaic: Pretty Days,OVA  ,1,Studio Gokumi,,"Comedy, Seinen, Slice of Life, School Life, Based on a 4-Koma Manga, Based on a Manga",3.69
2792,IGPX: Immortal Grand Prix 2nd Season,,TV   ,13,Production I.G,Spring,"Action, Mecha, Sci Fi, Sports, Racing, Original Work",3.69
2793,Hikawa Maru Monogatari, Hikawa Maru Story,Movie,,Mushi Production,,"Drama, Historical, Ship, Based on a Novel",3.69
2794,Blood Blockade Battlefront OVA, Kekkai Sensen: Ousama no Restaurant no Ousama,OVA  ,1,Bones,,"Action, Comedy, Sci Fi, Shounen, Restaurants, Superpowers, Work Life, Based on a Manga",3.69
2795,"Farewell, My Dear Cramer Movie: First Touch", Sayonara Watashi no Cramer Movie: First Touch,Movie,,LIDEN FILMS,,"Shounen, Sports, Soccer, Based on a Manga",3.69
2796,Gudetama,,TV   ,100,Gathering,Spring,"Comedy, Anthropomorphic, Food and Beverage, Food Protagonists, Non-Human Protagonists, Sanrio Characters, Short Episodes",3.69
2797,Squid Girls Specials, Shinryaku! Ika Musume Specials,DVD S,,diomedea,,"Comedy, Shounen, Ocean, Based on a Manga",3.69
2798,Sakura Quest,,TV   ,25,P.A. WORKS,Spring,"Drama, Slice of Life, Countryside, Lifestyle Change, Work Life, Original Work",3.69
2799,Detective Conan: Approaching the Mystery of the Ancient Dinosaurs!,"Alt titles: Case Closed: Approaching the Mystery of the Ancient Dinosaurs!, Meitantei Conan: Kodai Kyouryuu no Nazo ni Semare!",OVA  ,1,TMS Entertainment,,"Mystery, Shounen, Detectives, Based on a Manga",3.69
2800,Eve: The Secret About That Girl, Eve: Ano Ko Secret,Music,,TriF Studio,,Vocaloid,3.69
2801,Kuang Shenmo Zun, Mad Demon Lord,Web  ,62,,,"Fantasy, Chinese Animation",3.69
2802,ef - a tale of memories: Recollections,,OVA  ,1,SHAFT,,Recap,3.69
2803,Kiba,,TV   ,51,MADHOUSE,Spring,"Action, Adventure, Fantasy, Isekai, Magic, Original Work, Violence",3.69
2804,Fox Spirit Matchmaker Season 10, Huyao Xiao Hongniang: Mu Tiancheng,Web  ,12,Haoliners Animation League,,"Action, Fantasy, Romance, Chinese Animation, Non-Human Protagonists, Based on a Manga",3.69
2805,Whistle!,,TV   ,39,Studio Comet,Spring,"Action, Shounen, Sports, Soccer, Based on a Manga",3.69
2806,Saiyuki Reload Blast,,TV   ,12,Platinum Vision,Summer,"Action, Adventure, Fantasy, Exorcists, Journey to the West, Based on a Manga, Violence",3.69
2807,Gunslinger Girl,,TV   ,13,MADHOUSE,Fall ,"Action, Shounen, Assassins, Cyborgs, Europe, Guns, Human Experimentation, Italy, Based on a Manga, Mature Themes",3.69
2808,Tamako Market,,TV   ,12,Kyoto Animation,Winter,"Comedy, Romance, Slice of Life, Birds, Iyashikei, School Life, Original Work",3.69
2809,Rurouni Kenshin Special, Rurouni Kenshin Episode 95,Other,,Studio DEEN,,"Romance, Shounen, 19th Century, Feudal Japan, Historical, Samurai, Based on a Manga",3.69
2810,Amagami SS OVA,,OVA  ,6,AIC,,"Romance, School Life, Short Episodes, Based on a Visual Novel",3.69
2811,Patlabor 2: The Movie,"Alt titles: Kidou Keisatsu Patlabor 2 the Movie, Mobile Police Patlabor 2: The Movie",Movie,,Production I.G,,"Mecha, Sci Fi, Police, Real Robot, Original Work",3.69
2812,Mitchiri Neko March,,Music,,,,"Animal Protagonists, Anthropomorphic, Cats, Family Friendly, Music, Non-Human Protagonists",3.69
2813,Skull-face Bookseller Honda-san, Gaikotsu Shotenin Honda-san,TV   ,12,DLE,Fall ,"Comedy, Shounen, Bookstore, Coworkers, Non-Human Protagonists, Otaku Culture, Short Episodes, Skeletons, Supernatural, Work Life, Based on a Manga",3.69
2814,Vampire Knight,,TV   ,13,Studio DEEN,Spring,"Drama, Romance, Shoujo, Amnesia, Boarding School, Monster School, School Life, Supernatural, Vampires, Based on a Manga",3.69
2815,You're Under Arrest!, Taiho Shichau zo,TV   ,47,Studio DEEN,,"Action, Comedy, Drama, Seinen, Coworkers, Police, Work Life, Based on a Manga",3.69
2816,Shouxi Yu Ling Shi,,Web  ,40,Soyep,,"Action, Chinese Animation, Short Episodes, CG Animation",3.69
2817,5-fun de Wakaru: Violet Evergarden,,Web  ,3,Kyoto Animation,Winter,"Drama, Recap, Short Episodes, Based on a Light Novel",3.69
2818,Mobile Suit Gundam SEED Destiny Special Edition IV: The Cost of Freedom, Kidou Senshi Gundam SEED Destiny Special Edition Kanketsu Hen: Jiyuu no Daishou,TV Sp,,Sunrise,,"Mecha, Sci Fi, Real Robot",3.69
2819,Corpse Princess: Aka, Shikabane Hime: Aka,TV   ,13,feel.,Fall ,"Shounen, Monsters, Supernatural, Superpowers, Based on a Manga",3.69
2820,Toriko,,Other,,ufotable,,"Action, Adventure, Comedy, Shounen, Food and Beverage, Island, Based on a Manga",3.69
2821,Elegant Youkai Apartment Life, Youkai Apato no Yuuga na Nichijou,TV   ,26,Shin-Ei Animation,Summer,"Fantasy, Slice of Life, Anime no Me, Apartment Life, Boarding House, Coming of Age, Contemporary Fantasy, Japanese Mythology, Lifestyle Change, Magic, Neighbors, Orphans, School Life, Supernatural, Youkai, Based on a Light Novel",3.69
2822,Lupin III Special 16: Stolen Lupin, Lupin III Special 16: Nusumareta Lupin,TV Sp,,TMS Entertainment,,"Action, Comedy, Thieves, Based on a Manga",3.69
2823,RIN-NE 2,,TV   ,25,Brain's Base,Spring,"Comedy, Shounen, Episodic, Japanese Mythology, Reincarnation, Shinigami, Supernatural, Based on a Manga",3.69
2824,Sengoku Basara: Samurai Kings,,TV   ,12,Production I.G,Spring,"Action, 16th Century, Feudal Japan, Historical, Samurai, Swordplay, Based on a Video Game, Violence",3.69
2825,Koro-sensei Quest!, Koro Teacher Quest!,Web  ,12,Lerche,Winter,"Comedy, Fantasy, Shounen, Chibi, Non-Human Protagonists, Short Episodes, Based on a Manga",3.69
2826,Black Jack Special: The 4 Miracles of Life, Black Jack Special: Inochi wo Meguru Yottsu no Kiseki,TV Sp,,Tezuka Productions,,"Drama, Shounen, Doctors, Medical, Based on a Manga",3.69
2827,Fei Ren Zai 4th Season,,Web  ,12,FENZ,,"Comedy, Fantasy, Animal Characteristics, Animal Transformation, Chinese Animation, Gods, Short Episodes, Supernatural, Based on a 4-Koma Manga, Based on a Manga",3.69
2828,The Tyrant Falls In Love, Koi Suru Boukun,OVA  ,2,Prime Time,,"BL, Drama, Romance, Yaoi, Adult Couples, College, LGBT Themes, Mature Romance, Opposites Attract, Senpai-Kouhai Relationship, Unrequited Love, Based on a Manga, Emotional Abuse,, Explicit Sex,, Mature Themes,, Physical Abuse,, Sexual Abuse",3.69
2829,Mutafukaz, MFKZ,Movie,,Ankama Animations,,"Action, Comedy, Sci Fi, Aliens, Based on a Comic Book, Explicit Violence",3.69
2830,"Minami: Amewomatsu,", Minami: Waiting for Rain,Music,,,,,3.69
2831,Lupin III Special 7: The Pursuit of Harimao's Treasure, Lupin III Special 7: Harimao no Zaiho wo oe!!,TV Sp,,TMS Entertainment,,"Action, Criminals, Thieves, Based on a Manga, Nudity,, Violence",3.69
2832,Fate/stay night: TV reproduction,,OVA  ,2,Studio DEEN,,"Action, Fantasy, Contemporary Fantasy, Magic, Superpowers, Urban Fantasy, Based on an Eroge, Based on a Visual Novel",3.69
2833,Ghost in the Shell: Stand Alone Complex - The Laughing Man - Tachikoma Days,,DVD S,,Production I.G,,"Mecha, Sci Fi, Non-Human Protagonists, Robots, Based on a Manga",3.69
2834,"""Bungaku Shoujo"" Memoire",,OVA  ,3,Production I.G,,"Drama, Romance, Episodic, School Life, Based on a Light Novel",3.69
2835,On-Gaku: Our Sound,,Movie,,,,"Delinquents, Music, Rock Music, School Club, Based on a Manga",3.69
2836,Saiyuki OVA, Gensou Maden Saiyuki OVA,OVA  ,2,Tokyo Kids,,"Action, Adventure, Fantasy, Shounen, Exorcists, Journey to the West, Based on a Manga",3.69
2837,Sore Ike! Anpanman: Kuroyuki-hime to Motemote Baikinman,,Movie,,TMS Entertainment,,"Anthropomorphic, Family Friendly, Food Protagonists, Non-Human Protagonists",3.69
2838,Sore Ike! Anpanman Sukue! Kokorin to Kiseki no Hoshi,,Movie,,TMS Entertainment,,"Anthropomorphic, Family Friendly, Food Protagonists, Non-Human Protagonists",3.69
